scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,selected,acceptance_score
21,history_cost_quality,12,72,0.34,7,13,6,0.015071006932580715,0.004445107492979517,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.001333532247893855
22,history_cost_quality,12,72,0.34,9,12,3,0.009813346714488354,0.0043306219754328055,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8250000000000002,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.8250000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.001299186592630097
23,history_cost_quality,12,72,0.34,9,12,3,0.007684638999630438,0.00539902953226417,2,1,1,1,0.002423175970856173,0.002423175970856173,0.0,0.0,0.002423175970856173,0.002423175970856173,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9107565093041895,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.007193013592648448
24,history_cost_quality,12,72,0.34,6,14,8,0.03055582347276233,0.005456070842488797,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.001636821252746639
25,history_cost_quality,12,72,0.34,7,13,6,0.017966759269094485,0.00824525859304109,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.002473577577912327
26,history_cost_quality,12,72,0.34,8,12,4,0.013144205760744179,0.006279935169560435,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8540781116502739,0.8540781116502738,0.8540781116502738,0.8540781116502738,0.8540781116502738,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0018839805508683858
27,history_cost_quality,12,72,0.34,9,13,4,0.01166853173984307,0.0071555698267713784,2,1,1,1,0.005141917071038504,0.005141917071038504,0.0,0.0,0.005141917071038504,0.005141917071038504,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8968085837377054,0.8916666666666669,0.8916666666666669,0.8916666666666669,0.8916666666666669,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.013973080211419974
28,history_cost_quality,12,72,0.34,7,13,6,0.018397560212293773,0.0047564922862414925,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8540781116502739,0.8540781116502739,0.8540781116502739,0.8540781116502739,0.8540781116502739,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0014269476858724476
29,history_cost_quality,12,72,0.34,8,12,4,0.016597354947785047,0.006075623359577019,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0018226870078731055
30,history_cost_quality,12,72,0.34,8,12,4,0.014665569296873623,0.005787037037037042,1,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,1.0,1.0,1.0,0.8833333333333336,0.8833333333333334,0.8833333333333334,0.8833333333333334,0.8833333333333334,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0017361111111116232
31,history_cost_quality,12,72,0.34,8,12,4,0.013211974402907225,0.0046296296296296224,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0013888888888888868
32,history_cost_quality,12,72,0.34,8,13,5,0.014031493128023409,0.004364856673991027,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.001309457002197308
