load_level,seed,split,feature,mean,std,min,p05,p50,p95,max
medium,9,train,cost_q0,0.010458334349095821,0.002235679654404521,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746
medium,9,train,cost_q1,0.013885417021811008,0.010418703779578209,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.030499877408146858,0.10000000149011612
medium,9,train,cost_q2,0.033114586025476456,0.03670245409011841,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.10000000149011612,0.36000001430511475
medium,9,train,cost_q3,0.07183332741260529,0.10099491477012634,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.23000000417232513,0.9100000262260437
medium,9,train,cost_q4,0.13334374129772186,0.19176039099693298,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.5899999737739563,1.0099999904632568
medium,9,train,cost_q5,0.16977080702781677,0.21896952390670776,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.9599999785423279,1.0099999904632568
medium,9,test,cqi_t-4,10.565155029296875,3.5709753036499023,1.0,3.316977024078369,11.38272476196289,15.0,15.0
medium,9,test,cqi_t-3,10.625754356384277,3.5243804454803467,1.0,3.5854640007019043,11.359711647033691,15.0,15.0
medium,9,test,cqi_t-2,10.55034351348877,3.5233213901519775,1.0,3.355107307434082,11.3142671585083,15.0,15.0
medium,9,test,cqi_t-1,10.581912994384766,3.558391571044922,1.0,3.401728630065918,11.317399978637695,15.0,15.0
medium,9,test,cqi_now,10.589719772338867,3.5904183387756348,1.0,3.4121172428131104,11.327986717224121,15.0,15.0
medium,9,test,cost_q0,0.010458333417773247,0.0023713423870503902,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746
medium,9,test,cost_q1,0.01431250013411045,0.011562611907720566,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746,0.10999999940395355
medium,9,test,cost_q2,0.034708332270383835,0.04032056778669357,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.09000000357627869,0.36000001430511475
medium,9,test,cost_q3,0.07497916370630264,0.11010033637285233,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.2104998677968979,0.9100000262260437
medium,9,test,cost_q4,0.13774999976158142,0.1890522986650467,0.05999999865889549,0.05999999865889549,0.07000000029802322,0.5134991407394409,1.0099999904632568
medium,9,test,cost_q5,0.17560416460037231,0.2147684097290039,0.07999999821186066,0.07999999821186066,0.09000000357627869,0.8454986214637756,1.0099999904632568
medium,17,train,cqi_t-4,11.8523530960083,3.295365810394287,1.0,4.0591816902160645,12.982498168945312,15.0,15.0
medium,17,train,cqi_t-3,11.849000930786133,3.299534320831299,1.0,4.286564350128174,13.033347129821777,15.0,15.0
medium,17,train,cqi_t-2,11.85184097290039,3.300922155380249,1.0,4.2141242027282715,13.103326797485352,15.0,15.0
medium,17,train,cqi_t-1,11.879541397094727,3.311619997024536,1.0,4.391077518463135,13.136089324951172,15.0,15.0
